Company ID,Name,Website,Round,Amount (USD M),Year,Month,Investors,News link,Standardised round label
4511070,Les Causantes,http://lescausantes.group,EARLY VC,3.96,2022,11,Generis Capital Partners,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-novembre-2022/,
4511035,Audion,http://audion.fm,SERIES A,6.6,2022,11,Elevation Capital Partners;Founders Future,https://www.ecap-partner.com/news/research/synthese-des-levees-de-fonds-du-numerique-en-novembre-2022/,
3882697,Swipe,https://swipe.bg,SEED,0,2022,11,New Vision 3;Vitosha Venture Partners,https://ain.capital/2022/11/18/swipe-bg-raises-510k/,
2037243,Vocalls,https://vocalls.ai,SEED,0.88,2022,11,V-Sharp Venture Studio,,
1803964,EmailTree AI,https://emailtree.ai,SEED,2.97,2022,11,,https://therecursive.com/emailtree-looking-to-onboard-its-first-vc-in-the-next-e2-7m-late-seed-funding-round/,
3506592,Gaston,http://gogaston.io,SEED,1.056,2022,11,,,
1796473,Howbout,https://howbout.app/,SEED,2.5344,2022,11,ACF Investors;Claire Valoti;Boost Capital;Angel Invest;Supernode Global;Desigan Chinniah;Graham Paterson,https://techfundingnews.com/dark-social-media-app-howbout-picks-nearly-2m-to-help-plan-and-schedule-gatherings/,
2002127,Fasset,https://www.fasset.com,SERIES A,0,2022,10,,,
1771125,syniotec,https://syniotec.de,SEED,4.07,2022,10,,,
5457595,Calla Lily Clinical Care,http://callali.ly,SEED,0.6798,2022,10,Embryo Ventures,,
5448902,GenomixThera,http://genomixthera.com,SEED,2.5,2022,10,,,
5410819,kennek Solutions,http://kenneksolutions.uk,SEED,0,2022,10,,,
1748729,Bookvitals,http://getunderline.com/,SEED,0.8481,2022,10,,,
1765502,Spot,https://spot-bitcoin.com,SEED,0,2022,10,,,
5126265,Realiste,http://realiste.ai,SERIES A,4.5,2022,10,,,
4654696,Albion Technologies UK,https://albiontechnologies.co.uk/,SEED,0.528,2022,10,Bristol & Bath Regional Capital;Bristol City Funds,https://albiontechnologies.co.uk/albion-technologies-announce-a-secured-investment-from-city-funds/,
1537788,Spacety,https://en.spacety.com/,LATE VC,0,2022,10,,,
4266467,Propchain,http://propchain.com,SEED,0,2022,10,Alphaventure,,
4285511,Conservio,https://conservio.com,SEED,0.2,2022,10,,https://weetracker.com/2022/10/03/south-african-startup-conservation-club-secures-usd-200-k-pre-seed-round/,
5027969,Clone,http://clonerobotics.com,SEED,0,2022,10,Pioneer Fund,,
1824683,Sarus,https://sarus.tech/,SEED,0,2022,10,,,
1687496,Mondarella,https://www.mondarella.eu/,SEED,3.3,2022,10,,,
5178184,YGO Trips,http://ygotrips.com,SEED,0,2022,10,,,
1846782,Biograil,https://biograil.com/,SEED,0,2022,10,,,
1466420,Imagen Therapeutics,http://imagentherapeutics.com,SEED,0.071808,2022,10,,https://www.crowdcube.eu/companies/imagen/pitches/qaEzmq,
3779172,Numarqe,http://numarqe.com,SEED,0.66,2022,10,,,
3409257,Build.One,https://build.one,SEED,0,2022,10,Loric Ventures,,
905105,Utonomy,http://www.utonomy.co.uk,EARLY VC,6.6,2022,10,West Hill Capital,,
1749439,Lyko,https://lyko.tech,SEED,0,2022,10,,,
1584953,QD Solar,http://qdsolarinc.com,EARLY VC,0.1,2022,10,Luminate Accelerator,https://luminate.org/qd-solar-addresses-climate-change-challenges-with-high-efficiency-solar/,
5140278,Resleeve,http://resleeve.ai,SEED,0.5,2022,10,,,
4126503,Mycover.ai,http://mycover.ai,SEED,0,2022,10,,https://www.techstars.com/portfolio?name=MyCover.ai,
952863,Helium Health,https://www.heliumhealth.com/,SERIES B,20,2022,10,,,
